# WS1617_TNN_Assignment_PA-B_training_file_no_2_training2.dat
# P=318    N=2    M=1   
 0.020202 -0.666667  0.00967472  
 0.0606061 -0.666667  0.0298689  
 0.10101 -0.666667  0.0510789  
 0.141414 -0.666667  0.0731663  
 0.181818 -0.666667  0.0959868  
 0.222222 -0.666667  0.119392  
 0.262626 -0.666667  0.143228  
 0.30303 -0.666667  0.16734  
 0.343434 -0.666667  0.191571  
 0.383838 -0.666667  0.215762  
 0.424242 -0.666667  0.239756  
 0.464646 -0.666667  0.263396  
 0.505051 -0.666667  0.286528  
 0.545455 -0.666667  0.309   
 0.787879 -0.666667  0.422195  
 0.828283 -0.666667  0.436302  
 0.989899 -0.666667  0.475607  
 1.0303 -0.666667  0.480831  
 1.07071 -0.666667  0.484128  
 1.11111 -0.666667  0.485476  
 1.83838 -0.666667  0.224845  
 1.87879 -0.666667  0.20071  
 1.91919 -0.666667  0.176475  
 1.9596 -0.666667  0.152299  
 2 -0.666667  0.128341  
-2 -0.333333  0.376863  
-1.9596 -0.333333  0.366992  
-1.91919 -0.333333  0.355367  
-1.87879 -0.333333  0.342064  
-1.83838 -0.333333  0.327168   
-1.47475 -0.333333  0.140388  
-1.43434 -0.333333  0.116276  
-1.39394 -0.333333  0.0920447  
-1.23232 -0.333333 -0.00290887  
-1.19192 -0.333333 -0.0253795  
-1.15152 -0.333333 -0.0470439  
-1.11111 -0.333333 -0.0677607  
-1.07071 -0.333333 -0.0873946  
-1.0303 -0.333333 -0.105818  
-0.989899 -0.333333 -0.122909  
-0.949495 -0.333333 -0.138558  
-0.909091 -0.333333 -0.152662   
-0.707071 -0.333333 -0.197171  
-0.666667 -0.333333 -0.200464   
-0.464646 -0.333333 -0.187709  
-0.424242 -0.333333 -0.179431  
-0.222222 -0.333333 -0.112351  
-0.181818 -0.333333 -0.0944107  
-0.141414 -0.333333 -0.0752137  
-0.10101 -0.333333 -0.0548851  
-0.0606061 -0.333333 -0.0335578  
-0.020202 -0.333333 -0.0113708  
 0.020202 -0.333333  0.011531  
 0.0606061 -0.333333  0.0349982  
 0.10101 -0.333333  0.0588776  
 0.141414 -0.333333  0.0830133  
 0.181818 -0.333333  0.107248  
 0.222222 -0.333333  0.131423  
 0.262626 -0.333333  0.155381  
 0.30303 -0.333333  0.178966  
 0.343434 -0.333333  0.202023  
 0.666667 -0.333333  0.3506   
 0.949495 -0.333333  0.398154  
 0.989899 -0.333333  0.3973  
 1.0303 -0.333333  0.394493  
 1.27273 -0.333333  0.33855  
 1.31313 -0.333333  0.323278  
 1.35354 -0.333333  0.306537  
 1.39394 -0.333333  0.288436    
 1.67677 -0.333333  0.134486  
 1.71717 -0.333333  0.11033  
 1.75758 -0.333333  0.086094  
 1.79798 -0.333333  0.0619369  
 1.83838 -0.333333  0.0380162  
 1.87879 -0.333333  0.014488  
 1.91919 -0.333333 -0.00849408  
 1.9596 -0.333333 -0.0307801  
 2 -0.333333 -0.0522247  
-2  0  0.227041  
-1.9596  0  0.210471  
-1.91919  0  0.192528  
-1.43434  0 -0.0808592  
-1.39394  0 -0.103915  
-1.35354  0 -0.126293  
-1.15152  0 -0.223105  
-1.11111  0 -0.238566  
-1.07071  0 -0.25247  
-1.0303  0 -0.264727  
-0.989899  0 -0.275255  
-0.424242  0 -0.225084  
-0.383838  0 -0.20834  
-0.343434  0 -0.190236  
-0.0606061  0 -0.0362747  
-0.020202  0 -0.0121179  
 0.020202  0  0.0121179  
 0.0606061  0  0.0362747  
 0.10101  0  0.0601947  
 0.141414  0  0.0837218  
 0.181818  0  0.106703  
 0.222222  0  0.128987  
 0.262626  0  0.150429  
 0.30303  0  0.17089  
 0.343434  0  0.190236  
 0.424242  0  0.225084  
 0.464646  0  0.240359  
 0.505051  0  0.254066  
 0.545455  0  0.266114  
 0.787879  0  0.299996  
 0.909091  0  0.290867  
 1.83838  0 -0.152997  
 1.87879  0 -0.173328  
 1.91919  0 -0.192528  
 1.9596  0 -0.210471  
 2  0 -0.227041  
-2  0.333333  0.0522247  
-1.55556  0.333333 -0.204911  
-1.51515  0.333333 -0.227194  
-1.47475  0.333333 -0.248634  
-1.43434  0.333333 -0.269093  
-1.39394  0.333333 -0.288436  
-0.464646  0.333333 -0.266549  
-0.424242  0.333333 -0.245958  
-0.262626  0.333333 -0.155381  
-0.222222  0.333333 -0.131423  
-0.10101  0.333333 -0.0588776  
-0.0606061  0.333333 -0.0349982  
-0.020202  0.333333 -0.011531  
 0.020202  0.333333  0.0113708  
 0.181818  0.333333  0.0944107  
 0.222222  0.333333  0.112351  
 1.23232  0.333333  0.00290887  
 1.27273  0.333333 -0.0202214  
 1.31313  0.333333 -0.0438603  
 2  0.333333 -0.376863  
-2  0.666667 -0.128341  
-1.9596  0.666667 -0.152299  
-1.91919  0.666667 -0.176475  
-1.87879  0.666667 -0.20071  
-1.83838  0.666667 -0.224845  
-1.79798  0.666667 -0.248724  
-0.828283  0.666667 -0.436302  
-0.666667  0.666667 -0.371022  
-0.585859  0.666667 -0.330666  
-0.545455  0.666667 -0.309  
-0.505051  0.666667 -0.286528  
-0.464646  0.666667 -0.263396  
-0.343434  0.666667 -0.191571  
-0.30303  0.666667 -0.16734  
 0.10101  0.666667  0.0435335  
 0.626263  0.666667  0.0964656  
 0.666667  0.666667  0.0872783  
 0.707071  0.666667  0.0763107    
 1.67677  0.666667 -0.416467  
 1.71717  0.666667 -0.431168  
 1.87879  0.666667 -0.473143  
 1.91919  0.666667 -0.479086  
 1.9596  0.666667 -0.483113  
 2  0.666667 -0.485197  
-2  1 -0.294777  
-1.9596  1 -0.318613  
-1.91919  1 -0.342017  
-1.87879  1 -0.364836  
-1.83838  1 -0.386921  
-1.79798  1 -0.408129  
-1.75758  1 -0.428321  4  
-1.15152  1 -0.541751  
-1.11111  1 -0.5344  
-1.07071  1 -0.525208  
-1.0303  1 -0.514237  
-0.989899  1 -0.501557  
-0.949495  1 -0.487251  
-0.909091  1 -0.471413  
-0.868687  1 -0.454145  
-0.828283  1 -0.435561  
-0.787879  1 -0.415782  
-0.545455  1 -0.279676  
-0.505051  1 -0.255472  
-0.464646  1 -0.231247  
-0.424242  1 -0.20716  
-0.383838  1 -0.18337  
 0.30303  1  0.0473722  
 0.343434  1  0.0455401  
 0.949495  1 -0.180372  
 0.989899  1 -0.204114  
 1.79798  1 -0.55041  
 1.83838  1 -0.552251  
 1.87879  1 -0.552135  
 1.91919  1 -0.550063  
 1.9596  1 -0.546049  
 2  1 -0.540119  
-2  1.33333 -0.428763  
-1.9596  1.33333 -0.449851  
-1.91919  1.33333 -0.469907  
-1.87879  1.33333 -0.488798  
-1.75758  1.33333 -0.5373  
-1.71717  1.33333 -0.550391   
-0.10101  1.33333 -0.0200899  
-0.0606061  1.33333 -0.0106726  
-0.020202  1.33333 -0.00308856  
 0.020202  1.33333  0.00261262  
 0.0606061  1.33333  0.00639377  
 0.10101  1.33333  0.00823022  
 0.141414  1.33333  0.00810998  
 0.262626  1.33333 -0.00391928  
 0.30303  1.33333 -0.0117313  
 0.383838  1.33333 -0.0327717  
 0.989899  1.33333 -0.342791  
 1.0303  1.33333 -0.366484  
 1.07071  1.33333 -0.389689  
 1.15152  1.33333 -0.43403  
 1.83838  1.33333 -0.578384  
 1.87879  1.33333 -0.570345  
 1.91919  1.33333 -0.560487  
 1.9596  1.33333 -0.548873  
 2  1.33333 -0.53558  
-2  1.66667 -0.515548  
-1.9596  1.66667 -0.531568  
-1.43434  1.66667 -0.578453  
-1.39394  1.66667 -0.568811  
-1.15152  1.66667 -0.476905  
-1.11111  1.66667 -0.456847  
-1.07071  1.66667 -0.435757  
-1.0303  1.66667 -0.413771  
-0.989899  1.66667 -0.391034  
-0.949495  1.66667 -0.367694  
-0.747475  1.66667 -0.24736  
-0.707071  1.66667 -0.223667  
-0.141414  1.66667 -0.00385012  
-0.10101  1.66667 -0.00031097  
-0.0606061  1.66667  0.00128129  
-0.020202  1.66667  0.000916254  
 0.020202  1.66667 -0.00140369  
 0.0606061  1.66667 -0.00566339  
 0.222222  1.66667 -0.0413583  
 0.262626  1.66667 -0.0546547  
 0.383838  1.66667 -0.103699  
 0.989899  1.66667 -0.443731  
 1.0303  1.66667 -0.464452  
 1.07071  1.66667 -0.484091  
 1.11111  1.66667 -0.50252  
 1.15152  1.66667 -0.519618  
 1.19192  1.66667 -0.535273  
 1.23232  1.66667 -0.549384    
 1.51515  1.66667 -0.598587  
 1.79798  1.66667 -0.554343  
 
